BlockNumber,StreetName,helper,State,City,Street_Address,Full_St_Address
2100.0,"MICHIE DR, 35B",keep,Virginia,Charlottesville,2100 MICHIE DR,"2100 MICHIE DR, CHARLOTTESVILLE, VA"
600.0,10 1/2 ST NW,keep,Virginia,Charlottesville,600 10 1/2 ST NW,"600 10 1/2 ST NW, CHARLOTTESVILLE, VA"
200.0,2ND ST NW,keep,Virginia,Charlottesville,200 2ND ST NW,"200 2ND ST NW, CHARLOTTESVILLE, VA"
1100.0,E MARKET ST,keep,Virginia,Charlottesville,1100 E MARKET ST,"1100 E MARKET ST, CHARLOTTESVILLE, VA"
500.0,W MAIN ST,keep,Virginia,Charlottesville,500 W MAIN ST,"500 W MAIN ST, CHARLOTTESVILLE, VA"
700.0,"MONTICELLO AVE, C",keep,Virginia,Charlottesville,700 MONTICELLO AVE,"700 MONTICELLO AVE, CHARLOTTESVILLE, VA"
1200.0,AVON ST,keep,Virginia,Charlottesville,1200 AVON ST,"1200 AVON ST, CHARLOTTESVILLE, VA"
400.0,E MARKET ST,keep,Virginia,Charlottesville,400 E MARKET ST,"400 E MARKET ST, CHARLOTTESVILLE, VA"
1200.0,EMMET ST N,keep,Virginia,Charlottesville,1200 EMMET ST N,"1200 EMMET ST N, CHARLOTTESVILLE, VA"
900.0,E MARKET ST,keep,Virginia,Charlottesville,900 E MARKET ST,"900 E MARKET ST, CHARLOTTESVILLE, VA"
300.0,CHESTNUT ST,keep,Virginia,Charlottesville,300 CHESTNUT ST,"300 CHESTNUT ST, CHARLOTTESVILLE, VA"
200.0,GARRETT ST,keep,Virginia,Charlottesville,200 GARRETT ST,"200 GARRETT ST, CHARLOTTESVILLE, VA"
200.0,W MAIN ST,keep,Virginia,Charlottesville,200 W MAIN ST,"200 W MAIN ST, CHARLOTTESVILLE, VA"
700.0,E WATER ST,keep,Virginia,Charlottesville,700 E WATER ST,"700 E WATER ST, CHARLOTTESVILLE, VA"
900.0,PRESTON AVE,keep,Virginia,Charlottesville,900 PRESTON AVE,"900 PRESTON AVE, CHARLOTTESVILLE, VA"
300.0,250 BYPASS,keep,Virginia,Charlottesville,300 250 BYPASS,"300 250 BYPASS, CHARLOTTESVILLE, VA"
100.0,10TH ST NW,keep,Virginia,Charlottesville,100 10TH ST NW,"100 10TH ST NW, CHARLOTTESVILLE, VA"
1100.0,KENSINGTON AVE,keep,Virginia,Charlottesville,1100 KENSINGTON AVE,"1100 KENSINGTON AVE, CHARLOTTESVILLE, VA"
1600.0,YORKTOWN DR,keep,Virginia,Charlottesville,1600 YORKTOWN DR,"1600 YORKTOWN DR, CHARLOTTESVILLE, VA"
100.0,"LANKFORD AVE, 5",keep,Virginia,Charlottesville,100 LANKFORD AVE,"100 LANKFORD AVE, CHARLOTTESVILLE, VA"
300.0,"UNIVERSITY CIR, 202",keep,Virginia,Charlottesville,300 UNIVERSITY CIR,"300 UNIVERSITY CIR, CHARLOTTESVILLE, VA"
2100.0,ANGUS RD,keep,Virginia,Charlottesville,2100 ANGUS RD,"2100 ANGUS RD, CHARLOTTESVILLE, VA"
800.0,RAINIER RD,keep,Virginia,Charlottesville,800 RAINIER RD,"800 RAINIER RD, CHARLOTTESVILLE, VA"
1000.0,WERTLAND ST,keep,Virginia,Charlottesville,1000 WERTLAND ST,"1000 WERTLAND ST, CHARLOTTESVILLE, VA"
300.0,PRESTON AVE,keep,Virginia,Charlottesville,300 PRESTON AVE,"300 PRESTON AVE, CHARLOTTESVILLE, VA"
