RecordID,Offense,IncidentID,BlockNumber,StreetName,Agency,DateReported,HourReported,ReportingOfficer,Offense_cat
1,Assist Citizen - Mental/TDO/ECO,202500023705,2100.0,"MICHIE DR, 35B",CPD,2025/07/08 21:23:03+00,1723,"Crowley, Raeann",Mental Health/Welfare
2,Shots Fired/Illegal Hunting,202500023699,600.0,10 1/2 ST NW,CPD,2025/07/08 20:48:27+00,1648,"Curry, Brian",Weapon Offenses
3,Sex Offense - Forcible Sodomy,202500023694,200.0,2ND ST NW,CPD,2025/07/08 20:35:32+00,1635,"O'Briant, Landon",Assault & Violent Crime
4,Vandalism,202500023691,1100.0,E MARKET ST,CPD,2025/07/08 20:22:29+00,1622,"Benbow, Lauren",Property Damage
5,Larceny - Shoplifitng,202500023686,500.0,W MAIN ST,CPD,2025/07/08 20:12:33+00,1612,"Benbow, Lauren",Theft & Larceny
6,Assault Simple,202500023674,700.0,"MONTICELLO AVE, C",CPD,2025/07/08 17:52:45+00,1352,"Jones, Mark",Assault & Violent Crime
7,Narcotics,202500023670,1200.0,AVON ST,CPD,2025/07/08 17:15:12+00,1315,"Lowry, Ryan",Narcotics/Drug Offenses
8,Larceny - Shoplifitng,202500023651,400.0,E MARKET ST,CPD,2025/07/08 14:47:12+00,1047,"O'Briant, Landon",Theft & Larceny
9,Larceny - Theft from Building,202500023640,1200.0,EMMET ST N,CPD,2025/07/08 13:19:54+00,919,"Mian, Ghulam",Theft & Larceny
10,Larceny - From Motor Vehicle,202500023630,900.0,E MARKET ST,CPD,2025/07/08 12:41:05+00,841,"Mian, Ghulam",Theft & Larceny
11,Larceny - All Other,202500023627,300.0,CHESTNUT ST,CPD,2025/07/08 12:27:14+00,827,"Lowry, Ryan",Theft & Larceny
12,Hit and Run,202500023624,200.0,GARRETT ST,CPD,2025/07/08 11:53:39+00,753,"Lowry, Ryan",Motor Vehicle/Traffic
13,Assault Aggravated,202500023619,200.0,W MAIN ST,CPD,2025/07/08 10:35:48+00,635,"Folston, Elliott",Assault & Violent Crime
14,Vandalism,202500023587,700.0,E WATER ST,CPD,2025/07/08 03:00:11+00,2300,"Folston, Elliott",Property Damage
15,Assault Simple,202500023568,900.0,PRESTON AVE,CPD,2025/07/07 23:56:52+00,1956,"Curry, Brian",Assault & Violent Crime
16,Larceny - All Other,202500023565,300.0,250 BYPASS,CPD,2025/07/07 23:20:31+00,1920,"Bland, Johnnà",Theft & Larceny
17,Larceny - From Motor Vehicle,202500023520,100.0,10TH ST NW,CPD,2025/07/07 18:11:36+00,1411,"O'Briant, Landon",Theft & Larceny
18,Vandalism,202500023515,1100.0,KENSINGTON AVE,CPD,2025/07/07 17:47:10+00,1347,"Mian, Ghulam",Property Damage
19,Fraud-wire fraud,202500023499,1600.0,YORKTOWN DR,CPD,2025/07/07 15:56:28+00,1156,"O'Briant, Landon",Fraud & Financial
20,Larceny - Theft from Building,202500023434,100.0,"LANKFORD AVE, 5",CPD,2025/07/07 04:55:59+00,55,"Troche, Nicholas",Theft & Larceny
21,Domestic Disturbance,202500023423,300.0,"UNIVERSITY CIR, 202",CPD,2025/07/07 02:11:32+00,2211,"Oakes, Maithe",Public Order/Disorderly
22,Larceny - All Other,202500023416,2100.0,ANGUS RD,CPD,2025/07/07 01:09:42+00,2109,"Bland, Johnnà",Theft & Larceny
23,Lost/FoundProperty,202500023408,800.0,RAINIER RD,CPD,2025/07/06 23:26:57+00,1926,"Hannay, Jacob",Other
24,Sex Offense - Forcible Rape,202500023406,200.0,W MAIN ST,CPD,2025/07/06 23:14:20+00,1914,"Bland, Johnnà",Assault & Violent Crime
25,Larceny - All Other,202500023401,300.0,250 BYPASS,CPD,2025/07/06 22:21:49+00,1821,"Bland, Johnnà",Theft & Larceny
26,Larceny - From Motor Vehicle,202500023376,1000.0,WERTLAND ST,CPD,2025/07/06 17:12:43+00,1312,"Love-Baker, Sydney",Theft & Larceny
27,Hit and Run,202500023368,300.0,PRESTON AVE,CPD,2025/07/06 14:54:10+00,1054,"Love-Baker, Sydney",Motor Vehicle/Traffic
28,Shots Fired/Illegal Hunting,202500023361,300.0,OLD LYNCHBURG RD,CPD,2025/07/06 12:19:07+00,819,"Lowry, Ryan",Weapon Offenses
