,address,match_address
0,"2100 Michie Dr, Charlottesville, Virginia, 22901","2100 MICHIE DR, CHARLOTTESVILLE, VA"
1,"600 10 1/2 St NW, Charlottesville, Virginia, 22903","600 10 1/2 ST NW, CHARLOTTESVILLE, VA"
2,"200 2nd St NW, Charlottesville, Virginia, 22902","200 2ND ST NW, CHARLOTTESVILLE, VA"
3,"1100 E Market St, Charlottesville, Virginia, 22902","1100 E MARKET ST, CHARLOTTESVILLE, VA"
4,"500 W Main St, Charlottesville, Virginia, 22903","500 W MAIN ST, CHARLOTTESVILLE, VA"
5,"700 Monticello Ave, Charlottesville, Virginia, 22902","700 MONTICELLO AVE, CHARLOTTESVILLE, VA"
6,"1200 Avon St, Charlottesville, Virginia, 22902","1200 AVON ST, CHARLOTTESVILLE, VA"
7,"400 E Market St, Charlottesville, Virginia, 22902","400 E MARKET ST, CHARLOTTESVILLE, VA"
8,"1200 Emmet St N, Charlottesville, Virginia, 22903","1200 EMMET ST N, CHARLOTTESVILLE, VA"
9,"900 E Market St, Charlottesville, Virginia, 22902","900 E MARKET ST, CHARLOTTESVILLE, VA"
10,"300 Chestnut St, Charlottesville, Virginia, 22902","300 CHESTNUT ST, CHARLOTTESVILLE, VA"
11,"200 Garrett St, Charlottesville, Virginia, 22902","200 GARRETT ST, CHARLOTTESVILLE, VA"
12,"200 W Main St, Charlottesville, Virginia, 22902","200 W MAIN ST, CHARLOTTESVILLE, VA"
13,"700 E Water St, Charlottesville, Virginia, 22902","700 E WATER ST, CHARLOTTESVILLE, VA"
14,"900 Preston Ave, Charlottesville, Virginia, 22903","900 PRESTON AVE, CHARLOTTESVILLE, VA"
15,"250 Byp, Charlottesville, Virginia, 22901","250 BYP, CHARLOTTESVILLE, VA"
16,"100 10th St NW, Charlottesville, Virginia, 22903","100 10TH ST NW, CHARLOTTESVILLE, VA"
17,"1100 Kensington Ave, Charlottesville, Virginia, 22903","1100 KENSINGTON AVE, CHARLOTTESVILLE, VA"
18,"1600 Yorktown Dr, Charlottesville, Virginia, 22901","1600 YORKTOWN DR, CHARLOTTESVILLE, VA"
19,"100 Lankford Ave, Charlottesville, Virginia, 22902","100 LANKFORD AVE, CHARLOTTESVILLE, VA"
20,"University Cir, Charlottesville, Virginia, 22903","UNIVERSITY CIR, CHARLOTTESVILLE, VA"
21,"2100 Angus Rd, Charlottesville, Virginia, 22901","2100 ANGUS RD, CHARLOTTESVILLE, VA"
22,"800 Rainier Rd, Charlottesville, Virginia, 22903","800 RAINIER RD, CHARLOTTESVILLE, VA"
23,"1000 Wertland St, Charlottesville, Virginia, 22903","1000 WERTLAND ST, CHARLOTTESVILLE, VA"
24,"300 Preston Ave, Charlottesville, Virginia, 22902","300 PRESTON AVE, CHARLOTTESVILLE, VA"
25,"300 Old Lynchburg Rd, Charlottesville, Virginia, 22903","300 OLD LYNCHBURG RD, CHARLOTTESVILLE, VA"
26,"100 W Market St, Charlottesville, Virginia, 22902","100 W MARKET ST, CHARLOTTESVILLE, VA"
27,"1900 Cedar Hill Rd, Charlottesville, Virginia, 22901","1900 CEDAR HILL RD, CHARLOTTESVILLE, VA"
28,"300 15th St NW, Charlottesville, Virginia, 22903","300 15TH ST NW, CHARLOTTESVILLE, VA"
29,"500 1st St S, Charlottesville, Virginia, 22902","500 1ST ST S, CHARLOTTESVILLE, VA"
30,"Charlottesville, Virginia","CHARLOTTESVILLE, CHARLOTTESVILLE, VA"
31,"1300 Carlton Ave, Charlottesville, Virginia, 22902","1300 CARLTON AVE, CHARLOTTESVILLE, VA"
32,"600 Mason St, Charlottesville, Virginia, 22902","600 MASON ST, CHARLOTTESVILLE, VA"
